Syncmode 0, Channel 6:
242 eb1dc eb1d8
241 eb1d8 eb1d4
240 eb1d4 eb1d0
23f eb1d0 eb1cc
23e eb1cc eb1c8
23d eb1c8 eb1c4
23c eb1c4 eb1c0
23b eb1c0 eb1bc
23a eb1bc eb1b8
239 eb1b8 eb1b4
238 eb1b4 eb1b0
237 eb1b0 eb1ac
236 eb1ac eb1a8
235 eb1a8 eb1a4
234 eb1a4 eb1a0
233 eb1a0 eb19c
232 eb19c eb198
231 eb198 eb194
230 eb194 eb190
22f eb190 eb18c
22e eb18c eb188
22d eb188 eb184
22c eb184 eb180
22b eb180 eb17c
22a eb17c eb178
229 eb178 eb174
228 eb174 eb170
227 eb170 eb16c
226 eb16c eb168
225 eb168 eb164
224 eb164 eb160
223 eb160 eb15c
222 eb15c eb158
221 eb158 eb154
220 eb154 eb150
21f eb150 eb14c
21e eb14c eb148
21d eb148 eb144
21c eb144 eb140
21b eb140 eb13c
21a eb13c eb138
219 eb138 eb134
218 eb134 eb130
217 eb130 eb12c
216 eb12c eb128
215 eb128 eb124
214 eb124 eb120
213 eb120 eb11c
212 eb11c eb118
211 eb118 eb114
210 eb114 eb110
20f eb110 eb10c
20e eb10c eb108
20d eb108 eb104
20c eb104 eb100
20b eb100 eb0fc
20a eb0fc eb0f8
209 eb0f8 eb0f4
208 eb0f4 eb0f0
207 eb0f0 eb0ec
206 eb0ec eb0e8
205 eb0e8 eb0e4
204 eb0e4 eb0e0
203 eb0e0 eb0dc
202 eb0dc eb0d8
201 eb0d8 eb0d4
200 eb0d4 eb0d0
1ff eb0d0 eb0cc
1fe eb0cc eb0c8
1fd eb0c8 eb0c4
1fc eb0c4 eb0c0
1fb eb0c0 eb0bc
1fa eb0bc eb0b8
1f9 eb0b8 eb0b4
1f8 eb0b4 eb0b0
1f7 eb0b0 eb0ac
1f6 eb0ac eb0a8
1f5 eb0a8 eb0a4
1f4 eb0a4 eb0a0
1f3 eb0a0 eb09c
1f2 eb09c eb098
1f1 eb098 eb094
1f0 eb094 eb090
1ef eb090 eb08c
1ee eb08c eb088
1ed eb088 eb084
1ec eb084 eb080
1eb eb080 eb07c
1ea eb07c eb078
1e9 eb078 eb074
1e8 eb074 eb070
1e7 eb070 eb06c
1e6 eb06c eb068
1e5 eb068 eb064
1e4 eb064 eb060
1e3 eb060 eb05c
1e2 eb05c eb058
1e1 eb058 eb054
1e0 eb054 eb050
1df eb050 eb04c
1de eb04c eb048
1dd eb048 eb044
1dc eb044 eb040
1db eb040 eb03c
1da eb03c eb038
1d9 eb038 eb034
1d8 eb034 eb030
1d7 eb030 eb02c
1d6 eb02c eb028
1d5 eb028 eb024
1d4 eb024 eb020
1d3 eb020 eb01c
1d2 eb01c eb018
1d1 eb018 eb014
1d0 eb014 eb010
1cf eb010 eb00c
1ce eb00c eb008
1cd eb008 eb004
1cc eb004 eb000
1cb eb000 eaffc
1ca eaffc eaff8
1c9 eaff8 eaff4
1c8 eaff4 eaff0
1c7 eaff0 eafec
1c6 eafec eafe8
1c5 eafe8 eafe4
1c4 eafe4 eafe0
1c3 eafe0 eafdc
1c2 eafdc eafd8
1c1 eafd8 eafd4
1c0 eafd4 eafd0
1bf eafd0 eafcc
1be eafcc eafc8
1bd eafc8 eafc4
1bc eafc4 eafc0
1bb eafc0 eafbc
1ba eafbc eafb8
1b9 eafb8 eafb4
1b8 eafb4 eafb0
1b7 eafb0 eafac
1b6 eafac eafa8
1b5 eafa8 eafa4
1b4 eafa4 eafa0
1b3 eafa0 eaf9c
1b2 eaf9c eaf98
1b1 eaf98 eaf94
1b0 eaf94 eaf90
1af eaf90 eaf8c
1ae eaf8c eaf88
1ad eaf88 eaf84
1ac eaf84 eaf80
1ab eaf80 eaf7c
1aa eaf7c eaf78
1a9 eaf78 eaf74
1a8 eaf74 eaf70
1a7 eaf70 eaf6c
1a6 eaf6c eaf68
1a5 eaf68 eaf64
1a4 eaf64 eaf60
1a3 eaf60 eaf5c
1a2 eaf5c eaf58
1a1 eaf58 eaf54
1a0 eaf54 eaf50
19f eaf50 eaf4c
19e eaf4c eaf48
19d eaf48 eaf44
19c eaf44 eaf40
19b eaf40 eaf3c
19a eaf3c eaf38
199 eaf38 eaf34
198 eaf34 eaf30
197 eaf30 eaf2c
196 eaf2c eaf28
195 eaf28 eaf24
194 eaf24 eaf20
193 eaf20 eaf1c
192 eaf1c eaf18
191 eaf18 eaf14
190 eaf14 eaf10
18f eaf10 eaf0c
18e eaf0c eaf08
18d eaf08 eaf04
18c eaf04 eaf00
18b eaf00 eaefc
18a eaefc eaef8
189 eaef8 eaef4
188 eaef4 eaef0
187 eaef0 eaeec
186 eaeec eaee8
185 eaee8 eaee4
184 eaee4 eaee0
183 eaee0 eaedc
182 eaedc eaed8
181 eaed8 eaed4
180 eaed4 eaed0
17f eaed0 eaecc
17e eaecc eaec8
17d eaec8 eaec4
17c eaec4 eaec0
17b eaec0 eaebc
17a eaebc eaeb8
179 eaeb8 eaeb4
178 eaeb4 eaeb0
177 eaeb0 eaeac
176 eaeac eaea8
175 eaea8 eaea4
174 eaea4 eaea0
173 eaea0 eae9c
172 eae9c eae98
171 eae98 eae94
170 eae94 eae90
16f eae90 eae8c
16e eae8c eae88
16d eae88 eae84
16c eae84 eae80
16b eae80 eae7c
16a eae7c eae78
169 eae78 eae74
168 eae74 eae70
167 eae70 eae6c
166 eae6c eae68
165 eae68 eae64
164 eae64 eae60
163 eae60 eae5c
162 eae5c eae58
161 eae58 eae54
160 eae54 eae50
15f eae50 eae4c
15e eae4c eae48
15d eae48 eae44
15c eae44 eae40
15b eae40 eae3c
15a eae3c eae38
159 eae38 eae34
158 eae34 eae30
157 eae30 eae2c
156 eae2c eae28
155 eae28 eae24
154 eae24 eae20
153 eae20 eae1c
152 eae1c eae18
151 eae18 eae14
150 eae14 eae10
14f eae10 eae0c
14e eae0c eae08
14d eae08 eae04
14c eae04 eae00
14b eae00 eadfc
14a eadfc eadf8
149 eadf8 eadf4
148 eadf4 eadf0
147 eadf0 eadec
146 eadec eade8
145 eade8 eade4
144 eade4 eade0
143 eade0 eaddc
142 eaddc eadd8
141 eadd8 eadd4
140 eadd4 eadd0
13f eadd0 eadcc
13e eadcc eadc8
13d eadc8 eadc4
13c eadc4 eadc0
13b eadc0 eadbc
13a eadbc eadb8
139 eadb8 eadb4
138 eadb4 eadb0
137 eadb0 eadac
136 eadac eada8
135 eada8 eada4
134 eada4 eada0
133 eada0 ead9c
132 ead9c ead98
131 ead98 ead94
130 ead94 ead90
12f ead90 ead8c
12e ead8c ead88
12d ead88 ead84
12c ead84 ead80
12b ead80 ead7c
12a ead7c ead78
129 ead78 ead74
128 ead74 ead70
127 ead70 ead6c
126 ead6c ead68
125 ead68 ead64
124 ead64 ead60
123 ead60 ead5c
122 ead5c ead58
121 ead58 ead54
120 ead54 ead50
11f ead50 ead4c
11e ead4c ead48
11d ead48 ead44
11c ead44 ead40
11b ead40 ead3c
11a ead3c ead38
119 ead38 ead34
118 ead34 ead30
117 ead30 ead2c
116 ead2c ead28
115 ead28 ead24
114 ead24 ead20
113 ead20 ead1c
112 ead1c ead18
111 ead18 ead14
110 ead14 ead10
10f ead10 ead0c
10e ead0c ead08
10d ead08 ead04
